acronym, definition
A/D,Analogue to Digital Converter
ACS,Attitude Control Subsystem
ADS,Attitude Determination Subsystem
AOCS,Attitude and Orbit Control Subsystem
BCDR,Battery Charge and Discharge Regulator
BCRS,Barycentric Celestical Reference System
CA,Cellular Automaton
CAD,Computer Aided Design
CAN,Controller Area Network
COG,Center of Gravity
COM,Center of Mass
COS,Center of Satellite
COTS,Commercial-of-the-Shelf
CPU,Central Processing Unit
CSA,Canadian Space Agency
DC,Direct Current or Direct Voltage
DCO,Device Coordinates and Orientation
DDS,Distributed Data Service
DHS,Data Handling Subsystem
DIA,Device Identification Address
ECEF,Earth Centered Earth Fixed
ECI,Earth-Centered Inertial Coordinate System
ECSS,European Cooperation for Space Standardization 
ESCC,European Space Components Coordination
EPS,Electrical Power Subsystem
EQM,Engineering Qualification Model
FCU,Flow Control Unit
FDD,Feature Driven Development
FDU,Fill and Drain Unit
FM,Flight Model
FMU,Functional Mockup Unit
FTI,Fluid Transfer Interface
GCRF,Geocentric Celestial Reference Frame
GCRS,Geocentric Celestial Reference System
GEO,Geostationary Earth Orbit
GPIO,General Purpose Input/Output
iBLOCK, iBoss Building Block
iBoss,intelligent Building Blocks for On-Orbit Servicing
ICRF,International Celestial Reference Frame
ICRS,International Celestial Reference System
ICU,Interface Control Unit
IERS,Internationl Earth Rotation and Reference Systems Service
IMU,Inertial Measurement Unit
iSSI,Intelligent Space System Interface
ISSI,Intelligent Space System Interface
ITRS,International Terrestrial Reference System
LEO,Low Earth Orbit
MBF,Module Body Frame
MCU,Motor Control Unit
MDR,Mission Requiements Document
MIDC,Module id coordinates
MoI,Moment of Inertia
MOSFET,Metal-Oxide-Semiconductor Field-Effect Transistor
NASA,National Aeronautics and Space Agency
ND,Normative Document
OBC,On-Board Computer
OBC,On Board Computer
OBDH,On Board Data Handling
OCS,Orbit Control System
OCI,Optical CAN Interface
PA,Product Assurance; de: Produktsicherung
PCB,Printed Circuit Board
PCU,Power Control Unit
PDU,Power Distribution Unit
PSCU,Propulsion System Control Unit
PTFE,Polytetrafluorethylen
QA,Quality Assurance; de: Qualitätssicherung
QoS,Quality of Service
QSL,Qualification Status List; de: Liste des Qualifizierungs- status
ROS,Robot Operating System
ROSS,ROS for Space Applications
RTPS,Real-Time Publish-Subscribe
RTSP,Rapid Tree Spanning Protocol
SBF,Spacecraft Body Frame
SLA,RWTH Aachen; Institut für Strukturmechanik und Leichtbau 
SW,Software
TBD,to be defined
TBC,to be continued
TCS,Thermal Control Subsystem
TEME,True Equator Mean Equinox ECI
THU,Thruster Unit
TRIAD,TODO
TUB,Technische Universität Berlin; Institut für Luft- und Raumfahrt
TTC,Telemetry Tracking and Command
UART,Universal Asynchronous Receiver/Transmitter
VTi,Virtual Testbed iBoss
